ID,Time,Record,Type,Levels
76233,2019/11/21,21:07,0,84
76234,2019/11/21,21:22,0,104
76235,2019/11/21,21:37,0,132
76236,2019/11/21,21:52,0,132
76237,2019/11/21,22:07,0,100
76238,2019/11/21,22:22,0,85
76239,2019/11/21,22:37,0,108
76240,2019/11/21,22:52,0,126
76241,2019/11/21,23:07,0,128
76242,2019/11/21,23:22,0,128
76243,2019/11/21,23:37,0,133
76244,2019/11/21,23:52,0,130
76245,2019/11/22,00:07,0,110
76246,2019/11/22,00:22,0,95
76247,2019/11/22,00:37,0,97
76248,2019/11/22,00:52,0,99
76249,2019/11/22,01:07,0,93
76250,2019/11/22,01:22,0,86
76251,2019/11/22,01:37,0,83
76252,2019/11/22,01:52,0,75
76253,2019/11/22,02:07,0,62
76254,2019/11/22,02:22,0,61
76255,2019/11/22,02:37,0,79
76256,2019/11/22,02:52,0,80
76257,2019/11/22,03:07,0,76
76258,2019/11/22,03:22,0,75
76259,2019/11/22,03:37,0,74
76260,2019/11/22,03:52,0,75
76261,2019/11/22,04:07,0,74
76262,2019/11/22,04:22,0,76
76263,2019/11/22,04:37,0,80
76264,2019/11/22,04:52,0,74
76265,2019/11/22,05:07,0,71
76266,2019/11/22,05:22,0,69
76267,2019/11/22,05:37,0,69
76268,2019/11/22,05:52,0,74
76269,2019/11/22,06:07,0,79
76270,2019/11/22,06:22,0,72
76271,2019/11/22,06:37,0,66
76272,2019/11/22,06:52,0,65
76273,2019/11/22,07:07,0,65
76274,2019/11/22,07:22,0,70
76275,2019/11/22,07:37,0,73
76276,2019/11/22,07:52,0,63
76277,2019/11/22,08:07,0,62
76278,2019/11/22,08:22,0,67
76279,2019/11/22,08:37,0,68
76280,2019/11/22,08:52,0,71
76281,2019/11/22,09:07,0,82
76282,2019/11/22,09:22,0,97
76283,2019/11/22,09:37,0,109
76284,2019/11/22,09:52,0,109
76285,2019/11/22,10:07,0,103
76286,2019/11/22,10:22,0,98
76287,2019/11/22,10:37,0,93
76288,2019/11/22,10:52,0,97
76289,2019/11/22,11:07,0,106
76290,2019/11/22,11:22,0,109
76291,2019/11/22,11:37,0,110
76292,2019/11/22,11:52,0,112
76293,2019/11/22,12:07,0,108
76294,2019/11/22,12:22,0,100
76295,2019/11/22,12:37,0,96
76296,2019/11/22,12:52,0,99
76297,2019/11/22,13:07,0,99
76298,2019/11/22,13:22,0,93
76299,2019/11/22,13:37,0,83
76300,2019/11/22,13:52,0,77
76301,2019/11/22,14:07,0,87
76302,2019/11/22,14:22,0,106
76303,2019/11/22,14:37,0,112
76304,2019/11/22,14:52,0,103
76305,2019/11/22,15:07,0,96
76306,2019/11/22,15:22,0,93
76307,2019/11/22,15:37,0,93
76308,2019/11/22,15:52,0,96
76309,2019/11/22,16:07,0,93
76310,2019/11/22,16:22,0,84
76311,2019/11/22,16:37,0,85
76312,2019/11/22,16:52,0,100
76313,2019/11/22,17:07,0,119
76314,2019/11/22,17:22,0,121
76315,2019/11/22,17:37,0,106
76316,2019/11/22,17:52,0,97
76317,2019/11/22,18:07,0,104
76318,2019/11/22,18:22,0,122
76319,2019/11/22,18:37,0,127
76320,2019/11/22,18:52,0,115
76321,2019/11/22,19:07,0,104
76322,2019/11/22,19:22,0,107
76323,2019/11/22,19:37,0,126
76324,2019/11/22,19:52,0,128
76325,2019/11/22,20:07,0,96
76326,2019/11/22,20:22,0,74
76327,2019/11/22,20:37,0,68
76328,2019/11/22,20:52,0,65
76329,2019/11/22,21:07,0,66
76330,2019/11/22,21:22,0,75
76331,2019/11/22,21:37,0,93
76332,2019/11/22,21:52,0,106
76333,2019/11/22,22:07,0,96
76334,2019/11/22,22:22,0,89
76335,2019/11/22,22:37,0,102
76336,2019/11/22,22:52,0,125
76337,2019/11/22,23:07,0,153
76338,2019/11/22,23:22,0,165
76339,2019/11/22,23:37,0,158
76340,2019/11/22,23:52,0,145
76341,2019/11/23,00:07,0,138
76342,2019/11/23,00:22,0,140
76343,2019/11/23,00:37,0,144
76344,2019/11/23,00:52,0,142
76345,2019/11/23,01:07,0,139
76346,2019/11/23,01:22,0,132
76347,2019/11/23,01:37,0,122
76348,2019/11/23,01:52,0,114
76349,2019/11/23,02:07,0,111
76350,2019/11/23,02:22,0,111
76351,2019/11/23,02:37,0,104
76352,2019/11/23,02:52,0,95
76353,2019/11/23,03:07,0,90
76354,2019/11/23,03:22,0,82
76355,2019/11/23,03:37,0,79
76356,2019/11/23,03:52,0,78
76357,2019/11/23,04:07,0,73
76358,2019/11/23,04:22,0,72
76359,2019/11/23,04:37,0,76
76360,2019/11/23,04:52,0,76
76361,2019/11/23,05:07,0,74
76362,2019/11/23,05:22,0,72
76363,2019/11/23,05:37,0,71
76364,2019/11/23,05:52,0,69
76365,2019/11/23,06:07,0,69
76366,2019/11/23,06:22,0,71
76367,2019/11/23,06:37,0,73
76368,2019/11/23,06:52,0,75
76369,2019/11/23,07:07,0,71
76370,2019/11/23,07:22,0,69
76371,2019/11/23,07:37,0,70
76372,2019/11/23,07:52,0,72
76373,2019/11/23,08:07,0,70
76374,2019/11/23,08:22,0,66
76375,2019/11/23,08:37,0,67
76376,2019/11/23,08:52,0,70
76377,2019/11/23,09:07,0,65
76378,2019/11/23,09:22,0,60
76379,2019/11/23,09:37,0,63
76380,2019/11/23,09:52,0,80
76381,2019/11/23,10:07,0,104
76382,2019/11/23,10:22,0,105
76383,2019/11/23,10:37,0,85
76384,2019/11/23,10:52,0,75
76385,2019/11/23,11:07,0,67
76386,2019/11/23,11:22,0,68
76387,2019/11/23,11:37,0,75
76388,2019/11/23,11:52,0,83
76389,2019/11/23,12:07,0,95
76390,2019/11/23,12:22,0,91
76391,2019/11/23,12:37,0,85
76392,2019/11/23,12:52,0,86
76393,2019/11/23,13:07,0,78
76394,2019/11/23,13:22,0,77
76395,2019/11/23,13:37,0,84
76396,2019/11/23,13:52,0,80
