"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2017","487.05","490.72","495.48","480.60","7.26M","-0.60%"
"Feb 14, 2017","489.98","486.16","490.62","482.36","9.34M","0.34%"
"Feb 13, 2017","488.31","482.61","489.18","477.65","13.72M","1.66%"
"Feb 10, 2017","480.35","469.41","482.19","467.95","12.25M","2.36%"
"Feb 09, 2017","469.29","464.83","471.27","464.60","11.91M","1.01%"
"Feb 08, 2017","464.58","464.33","468.35","462.57","6.32M","-0.61%"
"Feb 07, 2017","467.43","462.84","471.17","460.63","9.27M","0.75%"
"Feb 06, 2017","463.96","464.95","468.17","461.63","6.73M","-0.09%"
"Feb 03, 2017","464.38","463.24","466.76","456.91","8.42M","0.02%"
"Feb 02, 2017","464.28","454.90","468.79","451.48","11.83M","2.09%"
"Feb 01, 2017","454.78","456.94","457.98","449.03","11.53M","-1.28%"
"Jan 31, 2017","460.66","467.06","467.06","448.63","24.07M","-2.18%"
"Jan 30, 2017","470.95","465.07","472.02","460.78","11.37M","0.76%"
"Jan 27, 2017","467.38","463.26","470.06","447.04","10.64M","0.59%"
"Jan 25, 2017","464.63","469.34","469.69","463.73","9.98M","-0.95%"
"Jan 24, 2017","469.07","471.27","471.27","466.36","6.83M","-0.75%"
"Jan 23, 2017","472.61","468.79","475.24","466.31","7.95M","0.42%"
"Jan 20, 2017","470.63","471.27","472.84","469.29","9.12M","-0.98%"
"Jan 19, 2017","475.29","471.77","476.04","470.33","8.88M","0.77%"
"Jan 18, 2017","471.67","475.29","476.73","471.17","5.95M","-0.48%"
"Jan 17, 2017","473.95","474.37","478.22","472.46","5.56M","-0.03%"
"Jan 16, 2017","474.08","478.72","478.94","472.49","12.35M","-2.06%"
"Jan 13, 2017","484.07","510.96","515.92","477.57","31.28M","-2.42%"
"Jan 12, 2017","496.10","484.94","498.26","484.94","11.86M","3.19%"
"Jan 11, 2017","480.75","483.28","485.39","478.19","12.24M","-0.15%"
"Jan 10, 2017","481.47","484.67","486.65","480.18","11.94M","0.02%"
"Jan 09, 2017","481.37","482.31","484.64","478.72","10.55M","-0.19%"
"Jan 06, 2017","482.31","493.55","495.51","480.23","14.39M","-2.40%"
"Jan 05, 2017","494.17","496.87","500.79","490.50","8.21M","-0.16%"
"Jan 04, 2017","494.96","493.62","498.16","492.23","7.07M","0.39%"
"Jan 03, 2017","493.03","498.11","498.51","487.15","6.78M","-0.72%"
"Jan 02, 2017","496.62","501.58","502.50","495.76","2.34M","-0.94%"
"Dec 30, 2016","501.34","495.09","502.03","492.48","7.27M","1.84%"
"Dec 29, 2016","492.28","497.94","500.05","490.20","6.24M","-0.62%"
"Dec 28, 2016","495.33","497.54","500.94","493.60","5.48M","-0.05%"
"Dec 27, 2016","495.56","487.52","497.02","486.16","4.91M","1.65%"
"Dec 26, 2016","487.52","490.13","493.10","483.73","3.21M","-0.58%"
"Dec 23, 2016","490.35","488.59","499.35","482.98","7.31M","0.38%"
"Dec 22, 2016","488.49","497.32","499.55","480.95","7.06M","-1.68%"
"Dec 21, 2016","496.85","504.02","506.99","495.21","7.34M","-1.05%"
"Dec 20, 2016","502.11","497.07","505.50","496.72","7.64M","0.75%"
"Dec 19, 2016","498.38","499.10","500.17","493.15","4.12M","-0.05%"
"Dec 16, 2016","498.63","497.96","500.89","494.96","6.44M","1.29%"
"Dec 15, 2016","492.28","494.79","505.48","490.62","7.97M","-0.74%"
"Dec 14, 2016","495.95","491.61","498.53","488.19","5.38M","0.96%"
"Dec 13, 2016","491.22","486.40","492.53","481.74","4.85M","1.32%"
"Dec 12, 2016","484.84","487.55","487.55","478.81","5.35M","-1.21%"
"Dec 09, 2016","490.79","488.64","500.12","486.90","8.65M","0.48%"
"Dec 08, 2016","488.46","481.22","489.18","481.22","5.94M","1.89%"
"Dec 07, 2016","479.41","480.20","482.68","476.33","3.39M","-0.01%"
"Dec 06, 2016","479.46","477.13","485.91","477.05","3.56M","0.51%"
"Dec 05, 2016","477.05","479.16","480.50","475.24","3.66M","-0.30%"
"Dec 02, 2016","478.47","478.62","481.00","476.78","4.45M","-1.14%"
"Dec 01, 2016","483.97","484.17","487.92","479.71","4.61M","0.00%"
"Nov 30, 2016","483.95","482.68","484.67","476.76","8.50M","0.30%"
"Nov 29, 2016","482.49","485.56","488.49","479.76","6.13M","-0.73%"
"Nov 28, 2016","486.03","485.81","487.87","481.49","7.37M","0.23%"
"Nov 25, 2016","484.92","461.58","488.64","461.58","12.63M","5.07%"
"Nov 24, 2016","461.50","460.46","466.26","458.03","16.78M","1.09%"
"Nov 23, 2016","456.52","457.43","457.83","452.65","8.25M","0.66%"
"Nov 22, 2016","453.51","454.85","460.68","452.25","5.48M","0.34%"
"Nov 21, 2016","451.98","459.81","459.81","449.92","7.94M","-0.97%"
"Nov 18, 2016","456.39","461.35","462.96","455.15","6.04M","-1.05%"
"Nov 17, 2016","461.25","463.46","470.78","459.57","5.71M","-1.18%"
"Nov 16, 2016","466.76","461.35","474.67","460.63","12.22M","1.88%"
"Nov 15, 2016","458.15","458.38","466.29","450.71","9.24M","0.22%"
"Nov 11, 2016","457.16","466.31","468.79","455.75","7.10M","-1.90%"
"Nov 10, 2016","466.02","477.48","477.48","463.83","7.29M","-1.97%"
"Nov 09, 2016","475.39","461.35","483.48","446.97","12.76M","-2.47%"
"Nov 08, 2016","487.45","489.58","490.00","481.49","5.26M","0.48%"
"Nov 07, 2016","485.14","488.64","489.13","483.68","4.54M","0.72%"
"Nov 04, 2016","481.69","479.71","485.76","476.73","6.01M","0.43%"
"Nov 03, 2016","479.63","486.68","487.15","478.76","5.23M","-1.45%"
"Nov 02, 2016","486.68","488.54","489.88","486.16","5.38M","-0.85%"
"Nov 01, 2016","490.84","499.45","499.45","489.33","6.33M","-1.26%"
"Oct 30, 2016","497.12","496.57","499.03","495.98","638.07K","0.46%"
"Oct 28, 2016","494.84","498.66","501.04","492.68","5.84M","-0.60%"
"Oct 27, 2016","497.81","504.96","504.98","496.62","7.23M","-1.06%"
"Oct 26, 2016","503.12","504.51","505.93","500.69","2.78M","-0.30%"
"Oct 25, 2016","504.61","514.18","515.38","503.62","5.64M","-0.96%"
"Oct 24, 2016","509.52","514.68","517.26","508.73","2.90M","-1.08%"
"Oct 21, 2016","515.08","513.44","516.42","507.24","3.86M","0.16%"
"Oct 20, 2016","514.26","518.28","521.23","512.85","3.54M","-0.49%"
"Oct 19, 2016","516.81","516.91","518.75","513.94","3.51M","0.26%"
"Oct 18, 2016","515.45","510.96","516.17","509.62","6.39M","1.63%"
"Oct 17, 2016","507.19","513.42","516.81","504.68","8.01M","-0.46%"
"Oct 14, 2016","509.55","522.32","537.10","494.22","33.46M","-2.39%"
"Oct 13, 2016","522.05","506.69","524.85","506.69","9.78M","2.17%"
"Oct 10, 2016","510.94","504.51","511.83","501.04","5.41M","1.72%"
"Oct 07, 2016","502.30","510.94","512.85","501.09","6.29M","-1.45%"
"Oct 06, 2016","509.67","518.40","518.40","508.95","3.72M","-1.35%"
"Oct 05, 2016","516.67","520.49","520.81","514.43","2.31M","-0.73%"
"Oct 04, 2016","520.49","515.92","521.58","515.08","5.07M","1.07%"
"Oct 03, 2016","514.98","513.69","515.92","509.03","3.66M","0.20%"
"Sep 30, 2016","513.96","511.51","517.86","511.51","6.50M","0.67%"
"Sep 29, 2016","510.56","518.38","518.38","507.98","8.90M","-0.94%"
"Sep 28, 2016","515.40","515.92","517.06","512.57","5.43M","-0.08%"
"Sep 27, 2016","515.80","513.47","520.83","512.62","6.53M","0.37%"
"Sep 26, 2016","513.89","517.29","517.91","511.46","6.37M","-0.64%"
"Sep 23, 2016","517.19","524.35","525.25","515.92","5.21M","-1.53%"
"Sep 22, 2016","525.25","525.35","526.34","521.87","3.63M","0.29%"
"Sep 21, 2016","523.73","522.87","526.46","521.40","4.23M","0.53%"
"Sep 20, 2016","520.96","522.52","524.43","518.77","4.21M","-1.04%"
"Sep 19, 2016","526.44","518.90","530.26","516.59","5.81M","0.10%"
"Sep 16, 2016","525.92","520.39","528.08","514.98","9.95M","1.72%"
"Sep 15, 2016","517.01","518.70","519.29","513.61","4.70M","-0.33%"
"Sep 14, 2016","518.70","522.84","524.75","516.24","5.15M","-0.80%"
"Sep 12, 2016","522.87","508.60","524.85","508.60","6.20M","1.79%"
"Sep 09, 2016","513.69","514.43","516.42","509.25","5.05M","-0.21%"
"Sep 08, 2016","514.76","518.40","518.40","507.98","9.09M","-1.58%"
"Sep 07, 2016","523.04","519.89","525.35","517.91","7.43M","0.90%"
"Sep 06, 2016","518.40","515.05","520.34","513.74","8.22M","1.27%"
"Sep 02, 2016","511.88","515.45","515.92","509.08","3.33M","-0.55%"
"Sep 01, 2016","514.71","514.93","516.14","511.95","2.88M","0.17%"
"Aug 31, 2016","513.86","514.48","518.77","509.87","11.14M","-0.44%"
"Aug 30, 2016","516.12","512.18","518.40","508.48","4.38M","1.72%"
"Aug 29, 2016","507.39","504.81","510.96","501.53","5.22M","0.25%"
"Aug 26, 2016","506.12","513.94","518.90","504.54","6.88M","-1.53%"
"Aug 25, 2016","514.01","523.36","524.65","512.00","4.80M","-2.01%"
"Aug 24, 2016","524.55","519.39","526.86","519.39","6.13M","1.71%"
"Aug 23, 2016","515.75","506.05","516.91","506.05","7.41M","2.38%"
"Aug 22, 2016","503.74","505.01","510.96","500.59","10.25M","-0.57%"
"Aug 19, 2016","506.64","510.96","515.43","505.23","5.69M","-0.21%"
"Aug 18, 2016","507.69","514.18","515.47","506.74","8.43M","-0.96%"
"Aug 17, 2016","512.60","520.86","522.20","511.21","6.60M","-1.76%"
"Aug 16, 2016","521.77","516.91","524.88","509.97","16.43M","-1.01%"
"Aug 12, 2016","527.11","533.31","535.17","525.84","7.45M","-1.37%"
"Aug 11, 2016","534.45","536.61","543.21","533.41","5.04M","-0.46%"
"Aug 10, 2016","536.93","533.78","539.68","533.38","5.58M","-0.10%"
"Aug 09, 2016","537.45","534.28","538.00","531.55","7.19M","0.44%"
"Aug 08, 2016","535.12","530.31","536.26","527.11","4.64M","1.00%"
"Aug 05, 2016","529.81","531.80","532.51","525.84","5.61M","-0.36%"
"Aug 04, 2016","531.70","538.94","539.19","530.83","4.24M","-1.21%"
"Aug 03, 2016","538.20","538.57","538.99","530.95","7.21M","0.10%"
"Aug 02, 2016","537.65","535.71","538.24","533.28","6.82M","-0.13%"
"Aug 01, 2016","538.37","531.55","539.66","529.98","9.10M","1.06%"
"Jul 29, 2016","532.71","532.09","534.15","529.07","8.16M","-0.34%"
"Jul 28, 2016","534.52","538.44","539.21","532.81","11.26M","-0.72%"
"Jul 27, 2016","538.42","538.10","543.95","535.04","7.43M","-0.31%"
"Jul 26, 2016","540.08","530.98","540.68","530.98","7.19M","0.73%"
"Jul 25, 2016","536.19","527.33","537.38","527.33","8.47M","0.78%"
"Jul 22, 2016","532.02","530.80","535.71","529.17","9.39M","-0.69%"
"Jul 21, 2016","535.71","535.27","539.34","533.58","8.67M","-0.30%"
"Jul 20, 2016","537.30","530.80","540.68","530.80","9.82M","-0.35%"
"Jul 19, 2016","539.21","540.03","540.73","532.84","10.40M","0.46%"
"Jul 18, 2016","536.73","534.40","538.20","523.44","14.33M","0.88%"
"Jul 15, 2016","532.07","590.08","590.28","521.87","61.48M","-8.82%"
"Jul 14, 2016","583.51","592.81","593.33","577.43","7.41M","-1.47%"
"Jul 13, 2016","592.22","585.37","593.21","582.99","5.28M","1.47%"
"Jul 12, 2016","583.66","585.37","585.55","579.42","6.20M","0.13%"
"Jul 11, 2016","582.92","579.12","584.73","575.45","6.67M","1.46%"
"Jul 08, 2016","574.56","576.94","578.92","572.23","5.55M","0.08%"
"Jul 07, 2016","574.09","579.77","580.91","572.97","5.95M","-1.55%"
"Jul 05, 2016","583.11","587.85","589.09","580.93","3.60M","-0.72%"
"Jul 04, 2016","587.33","583.49","592.61","583.49","5.38M","0.99%"
"Jul 01, 2016","581.60","585.37","585.37","580.46","3.99M","0.14%"
"Jun 30, 2016","580.81","585.62","587.60","579.39","9.35M","-0.51%"
